,smiles,id,hlogp,MW,logP,HBD,HBA,TPSA,qed,RotableBonds
29,C12N=C(C=C(C(OC)=O)C=1C(=NN2C)C)C1=C(C)N(N=C1C)CC,MCULE-3356293926,H24P250,327.3880000000001,2.5635600000000007,0.0,7.0,74.83,0.6911877904598192,3.0
30,C1(SC=C(C2C=CC=C(C=2)N(=O)=O)N=1)NC(=O)C=CC1=CC=C(C2C=C(Cl)C=C(Cl)C=2)O1,MCULE-3759256578,H32P600,486.3360000000002,6.937000000000003,1.0,6.0,98.27,0.1809264747883298,6.0
31,C12=NC3C=CC=CC=3N=C1C1C(=CC=C(OC)C=1)N2CCOC1C=CC=CC=1Cl,MCULE-2750165473,H29P500,403.86900000000014,5.478700000000004,0.0,5.0,49.17,0.3896667961007877,5.0
32,N1(CCCC21CCN(CC2)C1=NC=CC=N1)CC1=CC(=NO1)C,MCULE-7960523831,H23P240,313.4050000000001,2.4080200000000005,0.0,6.0,58.290000000000006,0.8670998370739924,3.0
33,P(O)(O)(=O)CN(CC(CCCC)CC)CP(O)(O)=O,MCULE-4458988208,H19P170,317.259,1.7752,4.0,3.0,118.3,0.4534263710242564,10.0
34,N1(C2C=CC=CC=2OC)C(=O)C(SC1=S)=CC1C=C(OC)C(=CC=1Br)OCC,MCULE-4315768587,H28P500,480.4050000000002,5.270800000000004,0.0,6.0,48.0,0.4148699675263734,6.0
35,C12=C(OC)C(OC)=C(C=C1NC(C(CNC1C=CC(=C(OC)C=1)OC)=C2)=O)OC,MCULE-4675272413,H29P310,400.43100000000015,3.183200000000001,2.0,7.0,91.04,0.6000321858681346,8.0
36,N1(C2C=CC=CC=2)N=C(C(C=NNC(=O)C2C=CC(=CC=2)F)=C1O)C,MCULE-7825274918,H25P270,338.34200000000004,2.789320000000001,2.0,5.0,79.51,0.5669845246447698,4.0
37,C12=CN(CC3=CC=CC(C)=C3)C3C(=CC(=CC=3)F)C1=NN(CC(=O)NC1=CC=CC(OC)=C1)C2=O,MCULE-8915952003,H35P440,470.5040000000002,4.445920000000004,1.0,6.0,78.15,0.397913958047172,6.0
38,C1(C(OCC)=O)=C(C)N=C(NC(=O)CC(C)C2=CC=CC=C2)S1,MCULE-9366449331,H23P370,332.425,3.7605200000000014,1.0,5.0,68.28999999999999,0.8178741662256915,6.0
39,N1(C[C@H]([C@H](C2C=CN=CC=2)C1)CO)C(=O)C1C=CC(=CC=1)OCC,MCULE-3221597881,H24P230,326.3960000000001,2.3284,1.0,4.0,62.66,0.91586429751719,5.0
40,C1(=C([O-])C2=CC=C(C(Cl)=C2)OC)C(C2C=CC(=CC=2)F)N(C(=O)C1=O)CCC[NH+]1CCOCC1,MCULE-8871080359,H34P100,488.9430000000004,1.016899999999999,1.0,5.0,83.34,0.357274016156112,7.0
41,N(=O)(=O)C1=CC=C(C=C1)C=CC(NCCOC1=CC=C(C=C1)C(C)(C)C)=O,MCULE-3983158893,H27P410,368.4330000000001,4.100700000000003,1.0,4.0,81.47,0.3451899380641914,7.0
42,COC1=CC=C(NC(C(C#N)=CC2=CC=C(OCC=C)C=C2)=O)C=C1,MCULE-5905899927,H25P380,334.37500000000006,3.8056800000000015,1.0,4.0,71.35,0.4747457982686222,7.0
43,C(=O)(NCC1=CC=C2C(OCO2)=C1)NC1C=CC=CC=1OC,MCULE-4262740536,H22P270,300.3140000000001,2.7456000000000014,2.0,4.0,68.82000000000001,0.9107043340438594,4.0
44,C12C=C(C=CC=1OC(C)=C2)C(NCCCCCCN)=O.Cl,MCULE-9191265738,H20P290,310.825,3.4119200000000016,2.0,3.0,68.25999999999999,0.7700003703577208,7.0
45,N1=C2CCCCCN2N=C1CN(C1=CC=C(C=C1)OCC)C(=O)NC1=CC=C(C=C1)C,MCULE-8107078338,H31P490,419.5290000000002,4.950320000000004,1.0,5.0,72.28,0.6135369325137049,6.0
46,C1(C(=O)NC2C(C)=CC=CC=2C)SC2=C(C(C3=CC=C(C=C3)OC)=CC(C3=CC=CC=C3)=N2)C=1N,MCULE-2047067746,H35P700,479.6050000000002,7.090240000000006,2.0,5.0,77.24,0.2820522290827056,5.0
47,C1(C2=CC=CC=C2)(CC1)C(=O)N1CCN(CC1)C1SC=C(CN2CCOCC2)N=1,MCULE-5360445365,H29P230,412.55900000000025,2.355700000000001,0.0,6.0,48.91000000000001,0.7546346184058806,5.0
48,C1(C(C(C)C)N(CC2=CC=CO2)CC2=CC3C(=C(C)C=CC=3)NC2=O)=NN=NN1C(C)(C)C,MCULE-8362329195,H33P450,448.57100000000014,4.570520000000005,1.0,7.0,92.84,0.4451374162630394,7.0
49,C1(C2NC=CN=2)N(CCC2=CC=CC=N2)C=NC=1C1C=CC=CC=1,MCULE-5343819239,H24P350,315.38000000000005,3.5779000000000023,1.0,4.0,59.39,0.6121911510141796,5.0
50,COCC(NC(CNS(C1=CC=C(Cl)C=C1)(=O)=O)=O)C,MCULE-2173812616,H20P070,320.7980000000001,0.7693999999999999,2.0,4.0,84.5,0.7769134118575318,7.0
51,C(OC(C)(C)C)(=O)N(C1=NC=C(Br)C2NC=NC1=2)C(OC(C)(C)C)=O,MCULE-6864188797,H25P430,413.27200000000016,4.397000000000003,1.0,6.0,97.41,0.7445678380205214,1.0
52,S(=O)(=O)(N(CC)CC)C1=CC=C2C(=C1)N(CC(=O)NC1C=CC(=CC=1)C)C(=O)CCS2,MCULE-2961294891,H31P340,461.6090000000002,3.4930200000000022,1.0,5.0,86.78999999999999,0.682072744193738,7.0
53,OC(CSC1=C2C(SC(C3=CC=CC=C3)=C2)=NC=N1)=O,MCULE-3054344049,H20P350,302.38000000000005,3.535000000000002,1.0,5.0,63.080000000000005,0.589758932067487,4.0
54,N1(CCCCC1CCOC1C=CC=C(CN(C)CC2C=CC=C3C=CC=NC=23)C=1)C(C(C)C)=O,MCULE-2978890811,H34P500,459.6340000000002,5.672800000000006,0.0,4.0,45.67,0.4134058723112501,9.0
55,S(=O)(=O)(C1=CC=C(C=C1)C(C)(C)C)N1CCC(CC1)N1C2=CC=CC=C2NC1=O,MCULE-3981948469,H29P360,413.5430000000001,3.6529000000000025,1.0,4.0,75.17,0.7120938905311491,3.0
56,C1(C2=CC=CO2)=NOC(CCN)=N1,MCULE-6507356074,H13P080,179.179,0.8307999999999998,1.0,5.0,78.08,0.7545126944096244,3.0
57,C1(N(C)CC)=CC(C)=C(C=N1)C(CC)O,MCULE-9418201496,H15P220,208.305,2.289520000000001,1.0,3.0,36.36,0.8243974161295655,4.0
58,C1(CN2CC(C2)N(C2CCOCC2)CC2=CC=CC=C2)SC=NC=1C,MCULE-7430344859,H25P330,357.523,3.316920000000001,0.0,5.0,28.6,0.7929392817916557,6.0
59,N1=C(CCC(=O)NC2C=CC(=CC=2C)C)ON=C1C1=CC=C(C=C1)OC,MCULE-6865674998,H26P390,351.40600000000006,3.933340000000003,1.0,5.0,77.25000000000001,0.7278657848183377,6.0
60,CCC1SC(CNC)=NC=1,MCULE-3252521714,H10P140,156.254,1.4249,1.0,3.0,24.92,0.7157018317500797,3.0
61,N1(C2CCCC2)CC(CC1=O)C(=O)NC1=NN=C(COC2=CC=C(C=C2)Cl)S1,MCULE-6365426615,H28P350,420.92200000000014,3.500100000000001,1.0,6.0,84.42,0.7726147343481401,6.0
62,N1=C(CCC(NCCC(OCC)=O)=O)OC(CCCC2=CC=CC=C2)=N1,MCULE-9518875345,H26P220,359.42600000000004,2.2469,1.0,6.0,94.32,0.6184954529604965,11.0
63,N1(C2=CC=C(C=C2)Cl)C(SCC(=O)NN=CC2C=CC=CC=2C)=NN=C1C1=CC=CC=C1,MCULE-5641493784,H32P500,461.9780000000002,5.138520000000003,1.0,6.0,72.17,0.2348345352426661,7.0
64,C1(NC2C=CC=CC=2)N=C(SCC(=O)N2CCCC2)N=C(NC2C=CC=CC=2)N=1,MCULE-2166212827,H29P400,406.5150000000001,4.073300000000002,2.0,7.0,83.04,0.5722779430026925,7.0
65,N1=C(NCCCOC)C=C(NC2C=CC(C)=CC=2C)N=C1,MCULE-6502956750,H21P320,286.379,3.285440000000002,2.0,5.0,59.07000000000001,0.7648847840731268,7.0
66,C(=S)(NC1C=CC(=C(C)C=1)Cl)N(CCCN1CCCC1)CC1=CC=CO1,MCULE-1127484923,H26P490,391.96800000000025,4.926320000000004,1.0,3.0,31.65,0.6764227223432779,7.0
67,N1(C(C)=O)N=C(CC1(O)C(C)(C)C)C(OC)=O,MCULE-4154483328,H17P050,242.27499999999995,0.5023,1.0,5.0,79.20000000000002,0.6790643890798316,1.0
68,C1(C(C(O)=O)N(C)CC2C=COC=2)=C(C)N(N=C1C)C,MCULE-6316600678,H20P180,277.32400000000007,1.88764,1.0,5.0,71.5,0.9032274752839216,5.0
69,CN(C(C1CC(NC(C2C3C(=C(C=CC=3)O)CCC2)=O)CCC1)=O)C,MCULE-3357786576,H25P250,344.4550000000001,2.5753000000000004,2.0,3.0,69.64,0.8853318601153725,3.0
70,C1(N=CC2C=CC=CC=2OC)SC2=C(CCC2)C=1C(OC)=O,MCULE-8195458115,H22P370,315.394,3.782600000000003,0.0,5.0,47.89,0.6369867249358957,4.0
71,C1(C=CC(=CC=1F)F)C(=O)NC1CCN(CC2C=CC(=NC=2)OC)C1,MCULE-5523512732,H25P230,347.3650000000001,2.3727,1.0,4.0,54.46000000000001,0.9022770985348988,5.0
72,C1(=NN(C=N1)CC1=CC=CC(=C1)C(F)(F)F)NC(=O)C1C=CC=C(C)C=1,MCULE-8589576788,H26P390,360.33900000000006,3.905920000000002,1.0,4.0,59.81,0.7675009192254494,4.0
