,protein_name,compound_name,smiles,pocket_name,pocket_com,affinity
38,6dlo,,C1(C(OCC)=O)=C(C)N=C(NC(=O)CC(C)C2=CC=CC=C2)S1,protein_center,"-18.041,-13.011,7.779",3.0490372
39,6dlo,,N1(C[C@H]([C@H](C2C=CN=CC=2)C1)CO)C(=O)C1C=CC(=CC=1)OCC,protein_center,"-18.041,-13.011,7.779",2.9194603
40,6dlo,,C1(=C([O-])C2=CC=C(C(Cl)=C2)OC)C(C2C=CC(=CC=2)F)N(C(=O)C1=O)CCC[NH+]1CCOCC1,protein_center,"-18.041,-13.011,7.779",4.074594
41,6dlo,,N(=O)(=O)C1=CC=C(C=C1)C=CC(NCCOC1=CC=C(C=C1)C(C)(C)C)=O,protein_center,"-18.041,-13.011,7.779",5.512994
42,6dlo,,COC1=CC=C(NC(C(C#N)=CC2=CC=C(OCC=C)C=C2)=O)C=C1,protein_center,"-18.041,-13.011,7.779",4.6282043
43,6dlo,,C(=O)(NCC1=CC=C2C(OCO2)=C1)NC1C=CC=CC=1OC,protein_center,"-18.041,-13.011,7.779",2.9960926
44,6dlo,,C12C=C(C=CC=1OC(C)=C2)C(NCCCCCCN)=O.Cl,protein_center,"-18.041,-13.011,7.779",4.449452
45,6dlo,,N1=C2CCCCCN2N=C1CN(C1=CC=C(C=C1)OCC)C(=O)NC1=CC=C(C=C1)C,protein_center,"-18.041,-13.011,7.779",4.902177
46,6dlo,,C1(C(=O)NC2C(C)=CC=CC=2C)SC2=C(C(C3=CC=C(C=C3)OC)=CC(C3=CC=CC=C3)=N2)C=1N,protein_center,"-18.041,-13.011,7.779",6.1129208
47,6dlo,,C1(C2=CC=CC=C2)(CC1)C(=O)N1CCN(CC1)C1SC=C(CN2CCOCC2)N=1,protein_center,"-18.041,-13.011,7.779",4.0367603
48,6dlo,,C1(C(C(C)C)N(CC2=CC=CO2)CC2=CC3C(=C(C)C=CC=3)NC2=O)=NN=NN1C(C)(C)C,protein_center,"-18.041,-13.011,7.779",4.8024387
49,6dlo,,C1(C2NC=CN=2)N(CCC2=CC=CC=N2)C=NC=1C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",5.0173435
50,6dlo,,COCC(NC(CNS(C1=CC=C(Cl)C=C1)(=O)=O)=O)C,protein_center,"-18.041,-13.011,7.779",2.4115157
51,6dlo,,C(OC(C)(C)C)(=O)N(C1=NC=C(Br)C2NC=NC1=2)C(OC(C)(C)C)=O,protein_center,"-18.041,-13.011,7.779",3.527192
52,6dlo,,S(=O)(=O)(N(CC)CC)C1=CC=C2C(=C1)N(CC(=O)NC1C=CC(=CC=1)C)C(=O)CCS2,protein_center,"-18.041,-13.011,7.779",4.4696107
53,6dlo,,OC(CSC1=C2C(SC(C3=CC=CC=C3)=C2)=NC=N1)=O,protein_center,"-18.041,-13.011,7.779",2.5776377
54,6dlo,,N1(CCCCC1CCOC1C=CC=C(CN(C)CC2C=CC=C3C=CC=NC=23)C=1)C(C(C)C)=O,protein_center,"-18.041,-13.011,7.779",4.672926
55,6dlo,,S(=O)(=O)(C1=CC=C(C=C1)C(C)(C)C)N1CCC(CC1)N1C2=CC=CC=C2NC1=O,protein_center,"-18.041,-13.011,7.779",4.895486
56,6dlo,,C1(C2=CC=CO2)=NOC(CCN)=N1,protein_center,"-18.041,-13.011,7.779",1.6430714
57,6dlo,,C1(N(C)CC)=CC(C)=C(C=N1)C(CC)O,protein_center,"-18.041,-13.011,7.779",2.3999243
58,6dlo,,C1(CN2CC(C2)N(C2CCOCC2)CC2=CC=CC=C2)SC=NC=1C,protein_center,"-18.041,-13.011,7.779",3.3349543
59,6dlo,,N1=C(CCC(=O)NC2C=CC(=CC=2C)C)ON=C1C1=CC=C(C=C1)OC,protein_center,"-18.041,-13.011,7.779",4.6646185
60,6dlo,,CCC1SC(CNC)=NC=1,protein_center,"-18.041,-13.011,7.779",2.6130292
61,6dlo,,N1(C2CCCC2)CC(CC1=O)C(=O)NC1=NN=C(COC2=CC=C(C=C2)Cl)S1,protein_center,"-18.041,-13.011,7.779",3.727509
62,6dlo,,N1=C(CCC(NCCC(OCC)=O)=O)OC(CCCC2=CC=CC=C2)=N1,protein_center,"-18.041,-13.011,7.779",3.9335384
63,6dlo,,N1(C2=CC=C(C=C2)Cl)C(SCC(=O)NN=CC2C=CC=CC=2C)=NN=C1C1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",5.1228247
